City,Neighborhood,Lat,Lng
Marrakech,Route d'Agadir - Essaouira,31.3003565,-9.7193668
Marrakech,Hay Andalous,32.3176696,-9.2227357
Marrakech,Fassi,31.6755025,-8.0277448
Marrakech,Michouar,,
Marrakech,Av Mohammed V,32.3105396,-9.2273703
Marrakech,Massar,31.6716551,-8.0402657
Marrakech,Hay Lalla Haya,,
Marrakech,Bin Lkchali,,
Marrakech,Arset Ihiri,31.6375418,-7.9952744
Marrakech,Rmila,,
Marrakech,Hay Al Bahja,31.5645564,-8.0779626
Marrakech,Iziki,31.6215776,-8.0563318
Marrakech,Bab El Khemis,31.6391004,-7.9858434
Tanger,Centre ville,35.196734,-6.1521045
Tanger,Centre,35.7460062,-5.8450621
Tanger,Malabata,35.7785538,-5.7768233
Tanger,Du Golf,35.775918,-5.8548297
Tanger,Autre secteur,,
Tanger,Marjane,35.7462167,-5.8448104
Tanger,Ziatene,,
Tanger,Sania,35.7787383,-5.7551633
Tanger,Hay Hassani,35.746288,-5.8498403
Tanger,Tanger City Center,35.7738552,-5.7871421
Tanger,Al Irfane 2,35.7382849,-5.8903564
Tanger,Aouama Gharbia,35.7261824,-5.8038898
Tanger,Ahlane,,
Tanger,De La Plage,35.7829964,-5.8104869
Tanger,Achakar,35.776388,-5.9302808
Tanger,Tanja Balia,35.7643529,-5.7599345
Tanger,la Nouvelle Ville Ibn Battouta,,
Tanger,Castilla,35.7674075,-5.8147553
Tanger,nouinouich,35.7942857,-5.7251807
Tanger,Zemmouri,35.7392491,-5.867097
Tanger,Iberie,,
Tanger,Aida,35.7591223,-5.843128
Tanger,Moujahidine,35.7712561,-5.8442361
Tanger,Mesnana,35.7564316,-5.8583
Tanger,Val Fleuri,35.769499,-5.8358982
Tanger,Branes Kdima,35.7470171,-5.8673859
Tanger,Aharrarine,,
Tanger,Branes 2,35.7470171,-5.8673859
Tanger,Mghogha,35.7487231,-5.7794545
Tanger,Aviation,,
Tanger,Administratif,,
Tanger,Al Mandar Al Jamil,,
Tanger,Mister Khouch,35.7738241,-5.8327767
Tanger,Boukhalef,35.7337667,-5.8831334
Tanger,Moulay Youssef,35.7709753,-5.8122013
Tanger,Mediouna,35.7718665,-5.9089654
Tanger,M'nar,35.8165259,-5.7476463
Tanger,Branes 1,35.7470171,-5.8673859
Tanger,Jbel Kbir,,
Tanger,Mozart,35.7742449,-5.7979833
Tanger,El Majd,,
Tanger,El Baraka,35.1737906,-3.865841
Tanger,Azib Haj Kaddour,,
Tanger,Charf,35.7718355,-5.7932623
Tanger,Beni Makada Lakdima,,
Tanger,Médina,35.786408,-5.8109634
Tanger,M'sallah,35.7743237,-5.8175644
Tanger,Gourziana,35.742325,-5.8127852
Tanger,Benkirane,35.754196,-5.7895878
Tanger,Ain El Hayani,,
Tanger,Casabarata,35.7646237,-5.823807
Tanger,Beni Touzine,35.739823,-5.846676
Tanger,Santa,35.167462,-5.2632946
Tanger,Makhoukha,,
Tanger,Achennad,35.7404209,-5.8286718
Tanger,Alia,35.7636391,-5.794075
Tanger,Zone Industrielle Mghogha,35.7418519,-5.7818354
Tanger,Bel Air - Val fleuri,,
Tanger,Hay Al Bassatine,,
Tanger,Ennasr,,
